#{"t_start": 1761302692.6657631, "env_id": "None"}
r,l,t
-295.85748,100,12.458544
-205.83842,100,12.458591
-197.67403,100,12.4586
-340.48758,100,12.458606
-251.63478,100,12.458611
-476.42148,100,12.458616
-288.35983,100,12.45862
-470.59958,100,12.458625
-210.853,100,12.458629
-267.45532,100,12.458633
-395.7388,100,12.591781
-208.77032,100,12.591816
-400.72717,100,12.591823
-315.04764,100,12.591829
-266.07098,100,12.591834
-281.19717,100,12.591839
-255.48921,100,12.591843
-117.559235,100,12.591847
-204.22006,100,12.591852
-274.35043,100,12.591856
-90.284164,100,12.71962
-89.4691,100,12.71964
-147.26321,100,12.719649
-77.94128,100,12.719655
-65.73612,100,12.719661
-74.97122,100,12.719666
-100.00042,100,12.719671
-196.573,100,12.719675
-46.41461,100,12.71968
-61.022972,100,12.719684
-91.94613,100,12.857196
-161.65147,100,12.857235
-135.8702,100,12.857243
-122.02872,100,12.857249
-111.5921,100,12.857254
-161.90042,100,12.857259
-150.27643,100,12.857263
-81.50038,100,12.857267
-385.856,100,12.857271
-82.85282,100,12.857275
-34.14548,100,12.985582
-174.42326,100,12.985608
-127.217026,100,12.985616
-99.34269,100,12.985622
-87.154724,100,12.985627
-62.650543,100,12.985632
-36.232502,100,12.985645
-29.052309,100,12.98565
-35.510757,100,12.985654
-107.621475,100,12.985658
-57.173573,100,13.114537
-285.21838,100,13.11455
-182.83162,100,13.114556
-236.64828,100,13.114561
-148.97076,100,13.114565
-214.91536,100,13.114569
-174.01654,100,13.114573
-192.78203,100,13.114577
-239.01212,100,13.114581
-368.0241,100,13.114585
-50.37302,100,13.243567
-165.3101,100,13.243609
-158.3966,100,13.243617
-249.50581,100,13.243624
-222.07329,100,13.243629
-227.65224,100,13.243634
-49.972755,100,13.243639
-224.38046,100,13.243644
-388.86142,100,13.243648
-232.64278,100,13.243652
-38.732708,100,13.378155
-244.05475,100,13.378193
-57.598927,100,13.3782
-60.06894,100,13.378206
-62.66753,100,13.378211
-80.1738,100,13.378215
-67.9476,100,13.37822
-184.50076,100,13.378224
-195.8895,100,13.378228
-46.066742,100,13.378232
-46.461,100,13.510292
-94.604,100,13.510325
-63.322765,100,13.510332
-67.928154,100,13.510338
-75.74067,100,13.510346
-57.936382,100,13.51035
-131.91606,100,13.510355
-54.680874,100,13.510362
-51.355103,100,13.510366
-49.486637,100,13.51037
-186.15442,100,13.639029
-225.98619,100,13.639045
-12.179409,100,13.639052
-215.60196,100,13.639057
-52.900314,100,13.639062
-61.361042,100,13.639066
-147.6944,100,13.639071
-150.70903,100,13.639075
-62.397022,100,13.639079
-56.50452,100,13.639083
-132.80905,100,13.767871
-103.78337,100,13.767884
-134.78279,100,13.76789
-43.5347,100,13.767895
-26.94866,100,13.7679
-106.68111,100,13.767905
-47.28177,100,13.767909
-123.68805,100,13.767913
-138.19551,100,13.767917
-46.7572,100,13.767921
-101.690895,100,13.896687
-71.30801,100,13.896697
-37.936596,100,13.896702
-97.721664,100,13.896707
-50.10465,100,13.896711
-189.08366,100,13.896715
-76.95936,100,13.896719
-124.35465,100,13.896723
-199.432,100,13.896727
-93.49371,100,13.89673
-65.493065,100,14.02537
-29.350433,100,14.025382
-52.3365,100,14.025387
-203.84612,100,14.025392
-53.278835,100,14.025397
-19.2865,100,14.025401
-68.402176,100,14.025405
-65.74458,100,14.025409
-209.66284,100,14.025413
-135.30983,100,14.025417
-241.12825,100,14.153496
-215.20102,100,14.153507
-83.13975,100,14.153516
-222.00441,100,14.153521
-273.26047,100,14.153526
-250.92342,100,14.153531
-200.26407,100,14.153535
-130.84381,100,14.153539
-131.36288,100,14.153543
-152.33296,100,14.153547
-122.475426,100,14.281463
-142.38728,100,14.281473
-28.840874,100,14.281478
-135.2887,100,14.281483
-200.93195,100,14.281488
-284.91434,100,14.281492
-230.6696,100,14.281496
-135.91193,100,14.2815
-81.25614,100,14.281507
-133.24516,100,14.281511
-42.322685,100,14.415113
-32.870388,100,14.41515
-40.125908,100,14.415157
-78.51134,100,14.415163
-177.35612,100,14.415168
-166.04881,100,14.415175
-46.32533,100,14.415179
-51.53039,100,14.415183
-82.93358,100,14.415187
-35.095406,100,14.415191
-126.914566,100,17.32384
-39.05989,100,17.323897
-132.96437,100,17.323909
-114.77323,100,17.323917
-79.3405,100,17.323923
-126.13432,100,17.323929
-101.52378,100,17.323934
-83.74737,100,17.32394
-82.1145,100,17.323945
-113.37225,100,17.323951
-19.12789,100,17.452093
-41.76895,100,17.452127
-72.385925,100,17.452137
-38.42489,100,17.452144
-100.26495,100,17.452153
-65.95787,100,17.452159
-103.750786,100,17.452169
-18.345211,100,17.452175
-45.9377,100,17.452181
-56.079765,100,17.452186
-131.62875,100,17.582187
-123.3069,100,17.582232
-83.66633,100,17.582244
-119.054565,100,17.582251
-118.00084,100,17.582259
-143.80653,100,17.582265
-142.82388,100,17.58227
-102.30051,100,17.582275
-195.9148,100,17.582281
-176.71057,100,17.582285
-91.04634,100,17.709463
-113.15594,100,17.709476
-88.58577,100,17.709482
-133.69426,100,17.709487
-47.113743,100,17.709492
-50.166374,100,17.709497
-82.51942,100,17.709501
-217.19902,100,17.709506
-26.179531,100,17.70951
-170.982,100,17.709515
-18.24306,100,17.836907
-55.35993,100,17.836926
-40.233677,100,17.83694
-22.33662,100,17.836947
-54.355988,100,17.836953
-132.74869,100,17.836959
-25.032377,100,17.836984
-20.563446,100,17.83699
-66.28438,100,17.836995
-153.38293,100,17.836999
-129.90512,100,17.963962
-89.575874,100,17.963978
-89.358185,100,17.963986
-67.25948,100,17.963992
-168.12881,100,17.964
-121.00858,100,17.964004
-91.82069,100,17.964009
-45.82993,100,17.964013
-88.26812,100,17.964017
-113.05258,100,17.964022
-194.58519,100,18.092142
-120.13336,100,18.092157
-232.9653,100,18.092163
-163.86313,100,18.092168
-270.5889,100,18.092173
-197.91217,100,18.092177
-203.9062,100,18.092181
-240.28812,100,18.092185
-219.5802,100,18.092189
-268.74915,100,18.092193
-158.41432,100,18.21949
-47.811317,100,18.219503
-69.77806,100,18.219509
-110.398766,100,18.219514
-293.49097,100,18.219518
-80.41403,100,18.219523
-69.42906,100,18.219527
-129.11661,100,18.219531
-270.04297,100,18.219535
-86.35703,100,18.219539
-24.721117,100,18.346897
-65.31027,100,18.346908
-75.41886,100,18.346917
-79.434845,100,18.346921
-138.81062,100,18.346926
-60.273743,100,18.34693
-79.68824,100,18.346937
-55.1553,100,18.346941
-34.33562,100,18.346945
-24.433907,100,18.346954
-35.093956,100,18.474181
-134.91982,100,18.47419
-167.6171,100,18.474195
-63.188984,100,18.4742
-104.016846,100,18.474204
-261.05447,100,18.474208
-238.59494,100,18.474212
-51.317924,100,18.474215
-264.9732,100,18.474219
-104.706436,100,18.474223
-45.973648,100,18.601387
-59.417408,100,18.601397
-239.60097,100,18.601403
-96.63266,100,18.601408
-134.54411,100,18.601412
-162.63765,100,18.601416
-85.93315,100,18.60142
-129.8202,100,18.601425
-94.43453,100,18.601429
-92.04744,100,18.601432
-61.29716,100,18.728408
-34.42532,100,18.728422
-94.018005,100,18.728428
-227.5115,100,18.728433
-49.872055,100,18.728437
-40.012806,100,18.728441
-113.780495,100,18.728445
-242.74258,100,18.728449
-130.67332,100,18.728453
-146.05876,100,18.728457
-124.88789,100,18.855735
-189.70578,100,18.85575
-123.82195,100,18.855757
-307.71436,100,18.855763
-61.59249,100,18.855768
-141.02376,100,18.855773
-173.06268,100,18.855778
-243.81091,100,18.855782
-257.10403,100,18.855786
-285.87286,100,18.85579
-137.25935,100,18.982551
-78.90504,100,18.98256
-232.39694,100,18.982565
-109.62727,100,18.982569
-63.015556,100,18.982573
-264.49982,100,18.982578
-157.2149,100,18.982582
-213.57314,100,18.982585
-88.218796,100,18.982589
-221.3686,100,18.982593
-240.34872,100,19.109545
-231.33176,100,19.109554
-147.30235,100,19.10956
-100.976715,100,19.109565
