#{"t_start": 1761301565.697262, "env_id": "None"}
r,l,t
20.0,100,16.482651
8.0,100,16.482657
7.0,100,16.482662
9.0,100,16.482666
-5.0,100,16.48267
28.0,100,16.482675
20.0,100,16.482679
23.0,100,16.482683
-1.0,100,16.482687
9.0,100,16.605007
32.0,100,16.605042
0.0,100,16.60505
8.0,100,16.605056
46.0,100,16.605061
-11.0,100,16.605065
60.0,100,16.60507
19.0,100,16.605074
13.0,100,16.605078
35.0,100,16.605082
7.0,100,16.734494
10.0,100,16.73454
19.0,100,16.73455
32.0,100,16.734556
6.0,100,16.734561
1.0,100,16.734566
34.0,100,16.73457
-7.0,100,16.734574
44.0,100,16.734578
12.0,100,16.734582
38.0,100,16.860584
-1.0,100,16.860633
16.0,100,16.86064
14.0,100,16.860645
42.0,100,16.86065
-3.0,100,16.860655
3.0,100,16.860659
31.0,100,16.860663
24.0,100,16.860667
18.0,100,16.860671
36.0,100,16.985979
45.0,100,16.986022
23.0,100,16.986032
20.0,100,16.986038
27.0,100,16.986042
38.0,100,16.98605
14.0,100,16.986054
10.0,100,16.986058
23.0,100,16.986063
36.0,100,16.986067
18.0,100,17.111201
13.0,100,17.111244
0.0,100,17.111252
-15.0,100,17.111258
29.0,100,17.111263
25.0,100,17.111268
37.0,100,17.111272
20.0,100,17.111276
40.0,100,17.11128
-5.0,100,17.111284
24.0,100,17.234358
13.0,100,17.234397
17.0,100,17.234406
44.0,100,17.234414
28.0,100,17.234419
33.0,100,17.234424
32.0,100,17.234431
10.0,100,17.234435
19.0,100,17.234439
6.0,100,17.234443
19.0,100,17.357224
22.0,100,17.357268
13.0,100,17.35728
33.0,100,17.357286
27.0,100,17.357295
22.0,100,17.3573
16.0,100,17.357305
34.0,100,17.357312
39.0,100,17.357316
22.0,100,17.35732
11.0,100,17.492627
26.0,100,17.492682
15.0,100,17.492692
31.0,100,17.492699
53.0,100,17.492705
13.0,100,17.49271
46.0,100,17.492715
4.0,100,17.492719
1.0,100,17.492724
55.0,100,17.492729
12.0,100,17.621104
2.0,100,17.621135
16.0,100,17.621145
15.0,100,17.621152
-15.0,100,17.621159
-3.0,100,17.621165
3.0,100,17.621173
-10.0,100,17.62118
16.0,100,17.621187
-27.0,100,17.621194
3.0,100,17.751495
-3.0,100,17.751541
8.0,100,17.751549
11.0,100,17.751555
43.0,100,17.75156
37.0,100,17.751565
12.0,100,17.75157
9.0,100,17.751574
27.0,100,17.751578
23.0,100,17.751582
-1.0,100,17.875387
15.0,100,17.875426
12.0,100,17.875435
29.0,100,17.875442
48.0,100,17.875448
-17.0,100,17.875455
18.0,100,17.875461
20.0,100,17.875466
15.0,100,17.875472
38.0,100,17.875476
2.0,100,18.001303
1.0,100,18.001344
4.0,100,18.001352
26.0,100,18.001358
-22.0,100,18.001363
-8.0,100,18.001368
-1.0,100,18.001372
31.0,100,18.001377
-1.0,100,18.001381
11.0,100,18.001385
17.0,100,18.126568
18.0,100,18.126613
32.0,100,18.126621
1.0,100,18.126626
38.0,100,18.126631
6.0,100,18.126635
10.0,100,18.126639
22.0,100,18.126643
21.0,100,18.126647
34.0,100,18.12665
24.0,100,18.249245
4.0,100,18.249281
46.0,100,18.249287
26.0,100,18.249291
19.0,100,18.249295
12.0,100,18.2493
2.0,100,18.249304
23.0,100,18.249308
42.0,100,18.249312
45.0,100,18.249315
-4.0,100,18.371602
0.0,100,18.371622
7.0,100,18.371627
-19.0,100,18.371632
-28.0,100,18.371636
-2.0,100,18.37164
8.0,100,18.371643
20.0,100,18.371647
-11.0,100,18.371651
-19.0,100,18.371655
47.0,100,18.495192
19.0,100,18.495236
20.0,100,18.495244
36.0,100,18.49525
0.0,100,18.495255
28.0,100,18.49526
14.0,100,18.495264
-17.0,100,18.495268
1.0,100,18.495273
36.0,100,18.495277
-20.0,100,18.623091
14.0,100,18.623146
-6.0,100,18.623156
7.0,100,18.623163
-15.0,100,18.623168
12.0,100,18.623173
17.0,100,18.623178
-6.0,100,18.623183
15.0,100,18.623187
6.0,100,18.623192
-22.0,100,21.539661
5.0,100,21.540529
24.0,100,21.540552
17.0,100,21.540559
-16.0,100,21.540564
-7.0,100,21.54057
-1.0,100,21.540575
29.0,100,21.540579
0.0,100,21.540584
-12.0,100,21.540588
26.0,100,21.664021
31.0,100,21.664075
2.0,100,21.664084
-3.0,100,21.664091
8.0,100,21.664097
29.0,100,21.664102
36.0,100,21.664107
18.0,100,21.664112
-1.0,100,21.664117
8.0,100,21.664122
4.0,100,21.790327
5.0,100,21.790371
17.0,100,21.790389
24.0,100,21.790396
16.0,100,21.790404
11.0,100,21.790408
16.0,100,21.790413
58.0,100,21.790417
14.0,100,21.790421
38.0,100,21.790424
19.0,100,21.912548
21.0,100,21.912593
30.0,100,21.912601
22.0,100,21.912607
30.0,100,21.912612
39.0,100,21.912619
31.0,100,21.912624
17.0,100,21.912628
9.0,100,21.912636
18.0,100,21.91264
21.0,100,22.035368
42.0,100,22.035412
28.0,100,22.035423
62.0,100,22.035429
38.0,100,22.035438
19.0,100,22.035443
21.0,100,22.035447
18.0,100,22.035451
17.0,100,22.035459
20.0,100,22.035462
31.0,100,22.158936
41.0,100,22.158977
29.0,100,22.158985
24.0,100,22.158991
11.0,100,22.158996
12.0,100,22.159
15.0,100,22.159005
37.0,100,22.159009
27.0,100,22.159013
43.0,100,22.159016
48.0,100,22.280535
39.0,100,22.280553
3.0,100,22.280559
17.0,100,22.280564
31.0,100,22.280568
22.0,100,22.280572
35.0,100,22.280576
36.0,100,22.28058
25.0,100,22.280584
44.0,100,22.280588
1.0,100,22.402464
18.0,100,22.402506
22.0,100,22.402516
16.0,100,22.402522
23.0,100,22.402527
5.0,100,22.402532
25.0,100,22.402536
-2.0,100,22.402539
5.0,100,22.402543
24.0,100,22.402547
44.0,100,22.524518
29.0,100,22.524557
37.0,100,22.524564
35.0,100,22.524569
51.0,100,22.524573
27.0,100,22.524577
25.0,100,22.524582
31.0,100,22.524586
24.0,100,22.52459
44.0,100,22.524593
26.0,100,22.645981
31.0,100,22.645997
11.0,100,22.646004
40.0,100,22.64601
37.0,100,22.646014
35.0,100,22.646019
26.0,100,22.646023
33.0,100,22.646027
17.0,100,22.646031
50.0,100,22.646034
38.0,100,22.766843
44.0,100,22.766859
48.0,100,22.766867
26.0,100,22.766872
11.0,100,22.766877
40.0,100,22.766882
3.0,100,22.766886
46.0,100,22.76689
5.0,100,22.766894
15.0,100,22.766898
27.0,100,22.887979
8.0,100,22.887992
26.0,100,22.888
39.0,100,22.888006
0.0,100,22.88801
31.0,100,22.888015
12.0,100,22.888022
20.0,100,22.888026
46.0,100,22.88803
9.0,100,22.888033
36.0,100,23.011216
32.0,100,23.011252
29.0,100,23.011259
16.0,100,23.011264
26.0,100,23.011268
38.0,100,23.011273
43.0,100,23.011277
28.0,100,23.011281
30.0,100,23.011284
21.0,100,23.011288
42.0,100,23.13823
17.0,100,23.138279
43.0,100,23.138287
14.0,100,23.138293
30.0,100,23.138298
4.0,100,23.138305
58.0,100,23.13831
20.0,100,23.138314
25.0,100,23.138318
40.0,100,23.138325
38.0,100,23.266019
6.0,100,23.266065
32.0,100,23.266073
29.0,100,23.266079
1.0,100,23.266084
29.0,100,23.266088
30.0,100,23.266092
14.0,100,23.266096
28.0,100,23.266101
43.0,100,23.266104
64.0,100,23.394831
28.0,100,23.39487
10.0,100,23.394877
34.0,100,23.394883
22.0,100,23.394888
27.0,100,23.394892
15.0,100,23.394896
16.0,100,23.3949
46.0,100,23.394904
-9.0,100,23.394908
37.0,100,23.520622
38.0,100,23.520663
7.0,100,23.520671
30.0,100,23.520676
23.0,100,23.520682
10.0,100,23.520687
42.0,100,23.520692
37.0,100,23.520696
35.0,100,23.5207
36.0,100,23.520704
13.0,100,23.64476
30.0,100,23.644805
21.0,100,23.644816
27.0,100,23.644822
44.0,100,23.644827
28.0,100,23.644832
41.0,100,23.644837
19.0,100,23.644841
11.0,100,23.644845
57.0,100,23.644849
27.0,100,23.76687
22.0,100,23.766891
56.0,100,23.766899
25.0,100,23.766905
25.0,100,23.76691
35.0,100,23.766914
9.0,100,23.766918
22.0,100,23.766922
32.0,100,23.766926
43.0,100,23.76693
13.0,100,23.889601
-7.0,100,23.889625
18.0,100,23.889636
-18.0,100,23.889642
-2.0,100,23.889647
0.0,100,23.889652
-12.0,100,23.889659
-15.0,100,23.889664
20.0,100,23.889668
-4.0,100,23.889675
29.0,100,24.015089
21.0,100,24.015135
32.0,100,24.015142
19.0,100,24.015148
16.0,100,24.015153
23.0,100,24.015157
38.0,100,24.015161
12.0,100,24.015165
26.0,100,24.015169
29.0,100,24.015173
35.0,100,26.856348
10.0,100,26.856383
15.0,100,26.85639
44.0,100,26.856396
42.0,100,26.856401
32.0,100,26.856406
25.0,100,26.856414
26.0,100,26.856418
41.0,100,26.856422
47.0,100,26.856426
10.0,100,26.978616
39.0,100,26.978662
41.0,100,26.97867
21.0,100,26.978679
29.0,100,26.978684
55.0,100,26.978689
55.0,100,26.978693
32.0,100,26.9787
33.0,100,26.978704
26.0,100,26.978719
37.0,100,27.101201
30.0,100,27.101244
29.0,100,27.101255
7.0,100,27.10126
19.0,100,27.10127
30.0,100,27.101274
29.0,100,27.101279
35.0,100,27.101286
37.0,100,27.10129
6.0,100,27.101294
39.0,100,27.222851
25.0,100,27.222894
37.0,100,27.222902
9.0,100,27.222907
42.0,100,27.222912
38.0,100,27.222917
34.0,100,27.222924
24.0,100,27.222928
23.0,100,27.222932
38.0,100,27.222936
18.0,100,27.343948
34.0,100,27.343959
45.0,100,27.343964
2.0,100,27.343968
37.0,100,27.343972
45.0,100,27.343976
33.0,100,27.34398
38.0,100,27.343984
22.0,100,27.343987
41.0,100,27.343991
15.0,100,27.465484
16.0,100,27.465519
35.0,100,27.465526
20.0,100,27.465532
35.0,100,27.465537
25.0,100,27.465541
11.0,100,27.465545
29.0,100,27.46555
12.0,100,27.465554
22.0,100,27.465558
23.0,100,27.588505
46.0,100,27.588542
37.0,100,27.588549
26.0,100,27.588555
36.0,100,27.58856
1.0,100,27.588565
31.0,100,27.588569
34.0,100,27.588573
29.0,100,27.588578
24.0,100,27.588582
43.0,100,27.710035
53.0,100,27.710055
22.0,100,27.710064
24.0,100,27.710069
37.0,100,27.710074
39.0,100,27.710078
28.0,100,27.710082
17.0,100,27.710086
45.0,100,27.71009
36.0,100,27.710095
10.0,100,27.830678
24.0,100,27.830687
27.0,100,27.830692
43.0,100,27.830697
40.0,100,27.830701
25.0,100,27.830705
39.0,100,27.830709
28.0,100,27.830713
23.0,100,27.830717
30.0,100,27.83072
48.0,100,27.951448
25.0,100,27.951478
53.0,100,27.951488
43.0,100,27.951493
52.0,100,27.951498
19.0,100,27.951506
12.0,100,27.95151
18.0,100,27.951514
30.0,100,27.951518
34.0,100,27.951522
38.0,100,28.073062
29.0,100,28.073086
21.0,100,28.073096
46.0,100,28.073102
15.0,100,28.073106
65.0,100,28.073114
10.0,100,28.073118
52.0,100,28.073122
24.0,100,28.073125
16.0,100,28.073129
15.0,100,28.193935
38.0,100,28.193955
15.0,100,28.193963
11.0,100,28.193968
20.0,100,28.193974
1.0,100,28.193979
45.0,100,28.193986
25.0,100,28.19399
27.0,100,28.193993
48.0,100,28.193997
26.0,100,28.314625
45.0,100,28.314636
12.0,100,28.314644
26.0,100,28.314649
6.0,100,28.314653
17.0,100,28.314658
24.0,100,28.314662
21.0,100,28.314665
14.0,100,28.314669
46.0,100,28.314675
9.0,100,28.435486
4.0,100,28.435498
10.0,100,28.435503
22.0,100,28.435508
4.0,100,28.435513
44.0,100,28.435517
7.0,100,28.43552
36.0,100,28.435524
4.0,100,28.435528
13.0,100,28.435531
3.0,100,28.557086
37.0,100,28.557115
7.0,100,28.557121
39.0,100,28.557126
14.0,100,28.55713
34.0,100,28.557134
2.0,100,28.557138
29.0,100,28.557143
54.0,100,28.557146
46.0,100,28.55715
39.0,100,28.679368
20.0,100,28.679411
28.0,100,28.679422
28.0,100,28.679427
41.0,100,28.679432
45.0,100,28.679436
44.0,100,28.679443
40.0,100,28.679448
16.0,100,28.679452
17.0,100,28.679459
18.0,100,28.800375
34.0,100,28.800394
30.0,100,28.800401
1.0,100,28.800409
14.0,100,28.800414
44.0,100,28.800418
32.0,100,28.800422
20.0,100,28.800426
27.0,100,28.80043
27.0,100,28.800434
14.0,100,28.921291
36.0,100,28.921303
22.0,100,28.921308
26.0,100,28.921313
16.0,100,28.92132
33.0,100,28.921324
16.0,100,28.921329
44.0,100,28.921332
43.0,100,28.921336
30.0,100,28.921343
29.0,100,29.042795
25.0,100,29.042829
34.0,100,29.042836
36.0,100,29.042844
30.0,100,29.042849
32.0,100,29.042853
22.0,100,29.042857
22.0,100,29.042861
46.0,100,29.042865
54.0,100,29.042868
28.0,100,29.163529
19.0,100,29.163546
23.0,100,29.163551
20.0,100,29.163556
2.0,100,29.16356
38.0,100,29.163564
40.0,100,29.163568
23.0,100,29.163572
21.0,100,29.163575
